send_id,user_id,send_date,send_number,opened,acted_on,variant
c00061,u0336,2026-05-06,1,false,false,comeback
c00062,u0336,2026-05-07,2,false,false,comeback
c00063,u0336,2026-05-08,3,false,false,comeback
c00064,u0336,2026-05-09,4,true,false,comeback
c00065,u0337,2026-05-06,1,true,false,comeback
c00066,u0337,2026-05-07,2,false,false,comeback
c00067,u0337,2026-05-08,3,false,false,comeback
c00068,u0337,2026-05-09,4,false,false,comeback
c00069,u0338,2026-05-06,1,false,false,comeback
c00070,u0338,2026-05-07,2,false,false,comeback
c00071,u0338,2026-05-08,3,false,false,comeback
c00072,u0338,2026-05-09,4,false,false,comeback
c00073,u0339,2026-05-06,1,true,true,comeback
c00074,u0339,2026-05-07,2,false,false,comeback
c00075,u0339,2026-05-08,3,false,false,comeback
c00076,u0339,2026-05-09,4,false,false,comeback
c00077,u0340,2026-05-06,1,false,false,comeback
c00078,u0340,2026-05-07,2,false,false,comeback
c00079,u0340,2026-05-08,3,false,false,comeback
c00080,u0340,2026-05-09,4,true,true,comeback
c00081,u0341,2026-05-06,1,false,false,comeback
c00082,u0341,2026-05-07,2,false,false,comeback
c00083,u0341,2026-05-08,3,false,false,comeback
c00084,u0341,2026-05-09,4,true,true,comeback
c00085,u0342,2026-05-06,1,false,false,comeback
c00086,u0342,2026-05-07,2,true,true,comeback
c00087,u0342,2026-05-08,3,true,true,comeback
c00088,u0342,2026-05-09,4,false,false,comeback
c00089,u0343,2026-05-06,1,false,false,comeback
c00090,u0343,2026-05-07,2,false,false,comeback
c00091,u0343,2026-05-08,3,false,false,comeback
c00092,u0343,2026-05-09,4,true,true,comeback
c00093,u0344,2026-05-06,1,false,false,comeback
c00094,u0344,2026-05-07,2,false,false,comeback
c00095,u0344,2026-05-08,3,true,false,comeback
c00096,u0344,2026-05-09,4,true,false,comeback
c00097,u0345,2026-05-06,1,false,false,comeback
c00098,u0345,2026-05-07,2,false,false,comeback
c00099,u0345,2026-05-08,3,false,false,comeback
c00100,u0345,2026-05-09,4,true,true,comeback
c00101,u0346,2026-05-06,1,true,false,comeback
c00102,u0346,2026-05-07,2,false,false,comeback
c00103,u0346,2026-05-08,3,false,false,comeback
c00104,u0346,2026-05-09,4,true,true,comeback
c00105,u0347,2026-05-06,1,false,false,comeback
c00106,u0347,2026-05-07,2,false,false,comeback
c00107,u0347,2026-05-08,3,true,false,comeback
c00108,u0347,2026-05-09,4,false,false,comeback
c00109,u0348,2026-05-06,1,false,false,comeback
c00110,u0348,2026-05-07,2,false,false,comeback
c00111,u0348,2026-05-08,3,false,false,comeback
c00112,u0348,2026-05-09,4,false,false,comeback
c00113,u0349,2026-05-06,1,false,false,comeback
c00114,u0349,2026-05-07,2,false,false,comeback
c00115,u0349,2026-05-08,3,false,false,comeback
c00116,u0349,2026-05-09,4,true,true,comeback
c00117,u0350,2026-05-06,1,false,false,comeback
c00118,u0350,2026-05-07,2,false,false,comeback
c00119,u0350,2026-05-08,3,true,true,comeback
c00120,u0350,2026-05-09,4,false,false,comeback
c00121,u0351,2026-05-06,1,true,true,comeback
c00122,u0351,2026-05-07,2,false,false,comeback
c00123,u0351,2026-05-08,3,false,false,comeback
c00124,u0351,2026-05-09,4,false,false,comeback
c00125,u0352,2026-05-06,1,true,true,comeback
c00126,u0352,2026-05-07,2,false,false,comeback
c00127,u0352,2026-05-08,3,false,false,comeback
c00128,u0352,2026-05-09,4,true,false,comeback
c00129,u0353,2026-05-06,1,false,false,comeback
c00130,u0353,2026-05-07,2,false,false,comeback
c00131,u0353,2026-05-08,3,false,false,comeback
c00132,u0353,2026-05-09,4,false,false,comeback
c00133,u0354,2026-05-06,1,false,false,comeback
c00134,u0354,2026-05-07,2,false,false,comeback
c00135,u0354,2026-05-08,3,true,false,comeback
c00136,u0354,2026-05-09,4,false,false,comeback
c00137,u0355,2026-05-06,1,true,false,comeback
c00138,u0355,2026-05-07,2,true,false,comeback
c00139,u0355,2026-05-08,3,false,false,comeback
c00140,u0355,2026-05-09,4,true,false,comeback
c00141,u0356,2026-05-06,1,false,false,comeback
c00142,u0356,2026-05-07,2,false,false,comeback
c00143,u0356,2026-05-08,3,true,false,comeback
c00144,u0356,2026-05-09,4,true,true,comeback
c00145,u0357,2026-05-06,1,true,true,comeback
c00146,u0357,2026-05-07,2,false,false,comeback
c00147,u0357,2026-05-08,3,true,true,comeback
c00148,u0357,2026-05-09,4,false,false,comeback
c00149,u0358,2026-05-06,1,false,false,comeback
c00150,u0358,2026-05-07,2,false,false,comeback
c00151,u0358,2026-05-08,3,true,false,comeback
c00152,u0358,2026-05-09,4,true,false,comeback
c00153,u0359,2026-05-06,1,true,false,comeback
c00154,u0359,2026-05-07,2,false,false,comeback
c00155,u0359,2026-05-08,3,false,false,comeback
c00156,u0359,2026-05-09,4,false,false,comeback
c00157,u0360,2026-05-06,1,false,false,comeback
c00158,u0360,2026-05-07,2,false,false,comeback
c00159,u0360,2026-05-08,3,false,false,comeback
c00160,u0360,2026-05-09,4,true,false,comeback
c00161,u0361,2026-05-06,1,true,false,comeback
c00162,u0361,2026-05-07,2,false,false,comeback
c00163,u0361,2026-05-08,3,false,false,comeback
c00164,u0361,2026-05-09,4,true,true,comeback
c00165,u0362,2026-05-06,1,false,false,comeback
c00166,u0362,2026-05-07,2,false,false,comeback
c00167,u0362,2026-05-08,3,false,false,comeback
c00168,u0362,2026-05-09,4,true,false,comeback
c00169,u0363,2026-05-06,1,false,false,comeback
c00170,u0363,2026-05-07,2,true,false,comeback
c00171,u0363,2026-05-08,3,false,false,comeback
c00172,u0363,2026-05-09,4,false,false,comeback
c00173,u0364,2026-05-06,1,true,true,comeback
c00174,u0364,2026-05-07,2,false,false,comeback
c00175,u0364,2026-05-08,3,false,false,comeback
c00176,u0364,2026-05-09,4,true,false,comeback
c00177,u0365,2026-05-06,1,true,true,comeback
c00178,u0365,2026-05-07,2,true,true,comeback
c00179,u0365,2026-05-08,3,false,false,comeback
c00180,u0365,2026-05-09,4,false,false,comeback
c00181,u0366,2026-05-06,1,true,false,comeback
c00182,u0366,2026-05-07,2,false,false,comeback
c00183,u0366,2026-05-08,3,true,false,comeback
c00184,u0366,2026-05-09,4,true,true,comeback
c00185,u0367,2026-05-06,1,false,false,comeback
c00186,u0367,2026-05-07,2,false,false,comeback
c00187,u0367,2026-05-08,3,false,false,comeback
c00188,u0367,2026-05-09,4,true,true,comeback
c00189,u0368,2026-05-06,1,false,false,comeback
c00190,u0368,2026-05-07,2,true,true,comeback
c00191,u0368,2026-05-08,3,true,false,comeback
c00192,u0368,2026-05-09,4,true,false,comeback
c00193,u0369,2026-05-06,1,false,false,comeback
c00194,u0369,2026-05-07,2,false,false,comeback
c00195,u0369,2026-05-08,3,false,false,comeback
c00196,u0369,2026-05-09,4,false,false,comeback
c00197,u0370,2026-05-06,1,true,false,comeback
c00198,u0370,2026-05-07,2,false,false,comeback
c00199,u0370,2026-05-08,3,false,false,comeback
c00200,u0370,2026-05-09,4,true,true,comeback
c00201,u0371,2026-05-06,1,false,false,control
c00202,u0371,2026-05-07,2,false,false,control
c00203,u0371,2026-05-08,3,false,false,control
c00204,u0371,2026-05-09,4,true,false,control
c00205,u0372,2026-05-06,1,false,false,control
c00206,u0372,2026-05-07,2,false,false,control
c00207,u0372,2026-05-08,3,false,false,control
c00208,u0372,2026-05-09,4,false,false,control
c00209,u0373,2026-05-06,1,false,false,control
c00210,u0373,2026-05-07,2,false,false,control
c00211,u0373,2026-05-08,3,false,false,control
c00212,u0373,2026-05-09,4,false,false,control
c00213,u0374,2026-05-06,1,false,false,control
c00214,u0374,2026-05-07,2,false,false,control
c00215,u0374,2026-05-08,3,false,false,control
c00216,u0374,2026-05-09,4,false,false,control
c00217,u0375,2026-05-06,1,false,false,control
c00218,u0375,2026-05-07,2,false,false,control
c00219,u0375,2026-05-08,3,false,false,control
c00220,u0375,2026-05-09,4,false,false,control
c00221,u0376,2026-05-06,1,false,false,control
c00222,u0376,2026-05-07,2,false,false,control
c00223,u0376,2026-05-08,3,false,false,control
c00224,u0376,2026-05-09,4,false,false,control
c00225,u0377,2026-05-06,1,false,false,control
c00226,u0377,2026-05-07,2,false,false,control
c00227,u0377,2026-05-08,3,false,false,control
c00228,u0377,2026-05-09,4,false,false,control
c00229,u0378,2026-05-06,1,false,false,control
c00230,u0378,2026-05-07,2,false,false,control
c00231,u0378,2026-05-08,3,false,false,control
c00232,u0378,2026-05-09,4,false,false,control
c00233,u0379,2026-05-06,1,false,false,control
c00234,u0379,2026-05-07,2,false,false,control
c00235,u0379,2026-05-08,3,false,false,control
c00236,u0379,2026-05-09,4,false,false,control
c00237,u0380,2026-05-06,1,false,false,control
c00238,u0380,2026-05-07,2,false,false,control
c00239,u0380,2026-05-08,3,false,false,control
c00240,u0380,2026-05-09,4,false,false,control
c00241,u0381,2026-05-06,1,false,false,control
c00242,u0381,2026-05-07,2,false,false,control
c00243,u0381,2026-05-08,3,false,false,control
c00244,u0381,2026-05-09,4,false,false,control
c00245,u0382,2026-05-06,1,false,false,control
c00246,u0382,2026-05-07,2,false,false,control
c00247,u0382,2026-05-08,3,false,false,control
c00248,u0382,2026-05-09,4,false,false,control
c00249,u0383,2026-05-06,1,false,false,control
c00250,u0383,2026-05-07,2,false,false,control
c00251,u0383,2026-05-08,3,false,false,control
c00252,u0383,2026-05-09,4,false,false,control
c00253,u0384,2026-05-06,1,false,false,control
c00254,u0384,2026-05-07,2,false,false,control
c00255,u0384,2026-05-08,3,false,false,control
c00256,u0384,2026-05-09,4,false,false,control
c00257,u0385,2026-05-06,1,false,false,control
c00258,u0385,2026-05-07,2,false,false,control
c00259,u0385,2026-05-08,3,false,false,control
c00260,u0385,2026-05-09,4,false,false,control
c00261,u0386,2026-05-06,1,false,false,control
c00262,u0386,2026-05-07,2,false,false,control
c00263,u0386,2026-05-08,3,false,false,control
c00264,u0386,2026-05-09,4,false,false,control
c00265,u0387,2026-05-06,1,false,false,control
c00266,u0387,2026-05-07,2,false,false,control
c00267,u0387,2026-05-08,3,false,false,control
c00268,u0387,2026-05-09,4,false,false,control
c00269,u0388,2026-05-06,1,false,false,control
c00270,u0388,2026-05-07,2,false,false,control
c00271,u0388,2026-05-08,3,false,false,control
c00272,u0388,2026-05-09,4,false,false,control
c00273,u0389,2026-05-06,1,false,false,control
c00274,u0389,2026-05-07,2,false,false,control
c00275,u0389,2026-05-08,3,false,false,control
c00276,u0389,2026-05-09,4,false,false,control
c00277,u0390,2026-05-06,1,false,false,control
c00278,u0390,2026-05-07,2,false,false,control
c00279,u0390,2026-05-08,3,false,false,control
c00280,u0390,2026-05-09,4,false,false,control
c00281,u0391,2026-05-06,1,false,false,control
c00282,u0391,2026-05-07,2,false,false,control
c00283,u0391,2026-05-08,3,false,false,control
c00284,u0391,2026-05-09,4,false,false,control
c00285,u0392,2026-05-06,1,false,false,control
c00286,u0392,2026-05-07,2,true,false,control
c00287,u0392,2026-05-08,3,false,false,control
c00288,u0392,2026-05-09,4,false,false,control
c00289,u0393,2026-05-06,1,false,false,control
c00290,u0393,2026-05-07,2,false,false,control
c00291,u0393,2026-05-08,3,false,false,control
c00292,u0393,2026-05-09,4,false,false,control
c00293,u0394,2026-05-06,1,false,false,control
c00294,u0394,2026-05-07,2,false,false,control
c00295,u0394,2026-05-08,3,false,false,control
c00296,u0394,2026-05-09,4,false,false,control
c00297,u0395,2026-05-06,1,false,false,control
c00298,u0395,2026-05-07,2,false,false,control
c00299,u0395,2026-05-08,3,false,false,control
c00300,u0395,2026-05-09,4,false,false,control
c00301,u0396,2026-05-06,1,false,false,control
c00302,u0396,2026-05-07,2,false,false,control
c00303,u0396,2026-05-08,3,false,false,control
c00304,u0396,2026-05-09,4,true,false,control
c00305,u0397,2026-05-06,1,false,false,control
c00306,u0397,2026-05-07,2,false,false,control
c00307,u0397,2026-05-08,3,false,false,control
c00308,u0397,2026-05-09,4,false,false,control
c00309,u0398,2026-05-06,1,false,false,control
c00310,u0398,2026-05-07,2,false,false,control
c00311,u0398,2026-05-08,3,false,false,control
c00312,u0398,2026-05-09,4,false,false,control
c00313,u0399,2026-05-06,1,false,false,control
c00314,u0399,2026-05-07,2,false,false,control
c00315,u0399,2026-05-08,3,false,false,control
c00316,u0399,2026-05-09,4,false,false,control
c00317,u0400,2026-05-06,1,false,false,control
c00318,u0400,2026-05-07,2,false,false,control
c00319,u0400,2026-05-08,3,false,false,control
c00320,u0400,2026-05-09,4,false,false,control
c00321,u0401,2026-05-06,1,false,false,control
c00322,u0401,2026-05-07,2,false,false,control
c00323,u0401,2026-05-08,3,false,false,control
c00324,u0401,2026-05-09,4,false,false,control
c00325,u0402,2026-05-06,1,false,false,control
c00326,u0402,2026-05-07,2,true,false,control
c00327,u0402,2026-05-08,3,false,false,control
c00328,u0402,2026-05-09,4,false,false,control
c00329,u0403,2026-05-06,1,false,false,control
c00330,u0403,2026-05-07,2,false,false,control
c00331,u0403,2026-05-08,3,false,false,control
c00332,u0403,2026-05-09,4,false,false,control
c00333,u0404,2026-05-06,1,false,false,control
c00334,u0404,2026-05-07,2,false,false,control
c00335,u0404,2026-05-08,3,false,false,control
c00336,u0404,2026-05-09,4,false,false,control
c00337,u0405,2026-05-06,1,false,false,control
c00338,u0405,2026-05-07,2,false,false,control
c00339,u0405,2026-05-08,3,false,false,control
c00340,u0405,2026-05-09,4,false,false,control
c00341,u0406,2026-05-06,1,false,false,control
c00342,u0406,2026-05-07,2,false,false,control
c00343,u0406,2026-05-08,3,false,false,control
c00344,u0406,2026-05-09,4,false,false,control
c00345,u0407,2026-05-06,1,false,false,control
c00346,u0407,2026-05-07,2,false,false,control
c00347,u0407,2026-05-08,3,false,false,control
c00348,u0407,2026-05-09,4,false,false,control
c00349,u0408,2026-05-06,1,false,false,control
c00350,u0408,2026-05-07,2,false,false,control
c00351,u0408,2026-05-08,3,false,false,control
c00352,u0408,2026-05-09,4,false,false,control
c00353,u0409,2026-05-06,1,false,false,control
c00354,u0409,2026-05-07,2,false,false,control
c00355,u0409,2026-05-08,3,false,false,control
c00356,u0409,2026-05-09,4,false,false,control
c00357,u0410,2026-05-06,1,true,false,control
c00358,u0410,2026-05-07,2,false,false,control
c00359,u0410,2026-05-08,3,false,false,control
c00360,u0410,2026-05-09,4,false,false,control
c00361,u0411,2026-05-06,1,false,false,control
c00362,u0411,2026-05-07,2,false,false,control
c00363,u0411,2026-05-08,3,false,false,control
c00364,u0411,2026-05-09,4,false,false,control
c00365,u0412,2026-05-06,1,true,false,control
c00366,u0412,2026-05-07,2,false,false,control
c00367,u0412,2026-05-08,3,false,false,control
c00368,u0412,2026-05-09,4,false,false,control
c00369,u0413,2026-05-06,1,false,false,control
c00370,u0413,2026-05-07,2,false,false,control
c00371,u0413,2026-05-08,3,true,false,control
c00372,u0413,2026-05-09,4,false,false,control
c00373,u0414,2026-05-06,1,false,false,control
c00374,u0414,2026-05-07,2,false,false,control
c00375,u0414,2026-05-08,3,false,false,control
c00376,u0414,2026-05-09,4,false,false,control
c00377,u0415,2026-05-06,1,false,false,control
c00378,u0415,2026-05-07,2,false,false,control
c00379,u0415,2026-05-08,3,false,false,control
c00380,u0415,2026-05-09,4,false,false,control
c00381,u0416,2026-05-06,1,false,false,control
c00382,u0416,2026-05-07,2,false,false,control
c00383,u0416,2026-05-08,3,false,false,control
c00384,u0416,2026-05-09,4,false,false,control
c00385,u0417,2026-05-06,1,false,false,control
c00386,u0417,2026-05-07,2,false,false,control
c00387,u0417,2026-05-08,3,false,false,control
c00388,u0417,2026-05-09,4,false,false,control
c00389,u0418,2026-05-06,1,false,false,control
c00390,u0418,2026-05-07,2,false,false,control
c00391,u0418,2026-05-08,3,true,false,control
c00392,u0418,2026-05-09,4,false,false,control
c00393,u0419,2026-05-06,1,false,false,control
c00394,u0419,2026-05-07,2,false,false,control
c00395,u0419,2026-05-08,3,false,false,control
c00396,u0419,2026-05-09,4,false,false,control
c00397,u0420,2026-05-06,1,false,false,control
c00398,u0420,2026-05-07,2,false,false,control
c00399,u0420,2026-05-08,3,false,false,control
c00400,u0420,2026-05-09,4,false,false,control
