session_id,user_id,session_date,session_duration_seconds,screen
s00145,u0037,2026-04-06,40,lesson
s00146,u0037,2026-04-07,315,streak
s00147,u0037,2026-04-08,408,streak
s00148,u0037,2026-04-09,417,streak
s00149,u0038,2026-04-06,379,lesson
s00150,u0038,2026-04-07,408,home
s00151,u0038,2026-04-08,299,lesson
s00152,u0038,2026-04-09,381,lesson
s00153,u0039,2026-04-06,386,lesson
s00154,u0039,2026-04-07,129,streak
s00155,u0039,2026-04-08,331,streak
s00156,u0039,2026-04-09,247,lesson
s00157,u0040,2026-04-06,204,streak
s00158,u0040,2026-04-07,266,lesson
s00159,u0040,2026-04-08,385,lesson
s00160,u0040,2026-04-09,301,home
s00161,u0041,2026-04-06,303,lesson
s00162,u0041,2026-04-07,364,streak
s00163,u0041,2026-04-08,211,streak
s00164,u0041,2026-04-09,160,home
s00165,u0042,2026-04-06,77,streak
s00166,u0042,2026-04-07,252,lesson
s00167,u0042,2026-04-08,334,streak
s00168,u0042,2026-04-09,407,home
s00169,u0043,2026-04-06,257,home
s00170,u0043,2026-04-07,130,home
s00171,u0043,2026-04-08,305,streak
s00172,u0043,2026-04-09,65,lesson
s00173,u0044,2026-04-06,311,streak
s00174,u0044,2026-04-07,344,streak
s00175,u0044,2026-04-08,266,lesson
s00176,u0044,2026-04-09,408,streak
s00177,u0045,2026-04-06,270,lesson
s00178,u0045,2026-04-07,166,lesson
s00179,u0045,2026-04-08,181,streak
s00180,u0045,2026-04-09,288,streak
s00181,u0046,2026-04-06,316,lesson
s00182,u0046,2026-04-07,110,home
s00183,u0046,2026-04-08,158,home
s00184,u0046,2026-04-09,395,lesson
s00185,u0047,2026-04-06,252,lesson
s00186,u0047,2026-04-07,145,home
s00187,u0047,2026-04-08,239,lesson
s00188,u0047,2026-04-09,396,streak
s00189,u0048,2026-04-06,254,lesson
s00190,u0048,2026-04-07,416,streak
s00191,u0048,2026-04-08,348,streak
s00192,u0048,2026-04-09,289,home
s00193,u0049,2026-04-06,247,streak
s00194,u0049,2026-04-07,124,streak
s00195,u0049,2026-04-08,105,lesson
s00196,u0049,2026-04-09,313,streak
s00197,u0050,2026-04-06,133,lesson
s00198,u0050,2026-04-07,173,home
s00199,u0050,2026-04-08,207,lesson
s00200,u0050,2026-04-09,272,home
s00201,u0051,2026-04-06,81,lesson
s00202,u0051,2026-04-07,49,lesson
s00203,u0051,2026-04-08,316,streak
s00204,u0051,2026-04-09,219,home
s00205,u0052,2026-04-06,166,home
s00206,u0052,2026-04-07,50,home
s00207,u0052,2026-04-08,118,streak
s00208,u0052,2026-04-09,104,home
s00209,u0053,2026-04-06,125,lesson
s00210,u0053,2026-04-07,350,streak
s00211,u0053,2026-04-08,407,streak
s00212,u0053,2026-04-09,123,home
s00213,u0054,2026-04-06,243,lesson
s00214,u0054,2026-04-07,141,streak
s00215,u0054,2026-04-08,343,home
s00216,u0054,2026-04-09,361,streak
s00217,u0055,2026-04-06,217,home
s00218,u0055,2026-04-07,259,streak
s00219,u0055,2026-04-08,229,streak
s00220,u0055,2026-04-09,299,home
s00221,u0056,2026-04-06,275,streak
s00222,u0056,2026-04-07,118,streak
s00223,u0056,2026-04-08,130,lesson
s00224,u0056,2026-04-09,307,streak
s00225,u0057,2026-04-06,414,lesson
s00226,u0057,2026-04-07,177,streak
s00227,u0057,2026-04-08,165,lesson
s00228,u0057,2026-04-09,182,home
s00229,u0058,2026-04-06,293,home
s00230,u0058,2026-04-07,133,lesson
s00231,u0058,2026-04-08,148,lesson
s00232,u0058,2026-04-09,172,lesson
s00233,u0059,2026-04-06,137,streak
s00234,u0059,2026-04-07,163,home
s00235,u0059,2026-04-08,248,streak
s00236,u0059,2026-04-09,324,lesson
s00237,u0060,2026-04-06,190,home
s00238,u0060,2026-04-07,247,home
s00239,u0060,2026-04-08,164,streak
s00240,u0060,2026-04-09,379,lesson
s00241,u0061,2026-04-06,220,lesson
s00242,u0061,2026-04-07,272,streak
s00243,u0061,2026-04-08,196,lesson
s00244,u0061,2026-04-09,158,lesson
s00245,u0062,2026-04-06,134,streak
s00246,u0062,2026-04-07,150,home
s00247,u0062,2026-04-08,287,streak
s00248,u0062,2026-04-09,410,lesson
s00249,u0063,2026-04-06,224,home
s00250,u0063,2026-04-07,194,home
s00251,u0063,2026-04-08,402,home
s00252,u0063,2026-04-09,104,streak
s00253,u0064,2026-04-06,366,home
s00254,u0064,2026-04-07,92,lesson
s00255,u0064,2026-04-08,333,home
s00256,u0064,2026-04-09,280,lesson
s00257,u0065,2026-04-06,245,home
s00258,u0065,2026-04-07,77,lesson
s00259,u0065,2026-04-08,362,streak
s00260,u0065,2026-04-09,67,streak
s00261,u0066,2026-04-06,100,home
s00262,u0066,2026-04-07,253,streak
s00263,u0066,2026-04-08,345,streak
s00264,u0066,2026-04-09,155,streak
s00265,u0067,2026-04-06,331,lesson
s00266,u0067,2026-04-07,70,streak
s00267,u0067,2026-04-08,418,streak
s00268,u0067,2026-04-09,146,home
s00269,u0068,2026-04-06,41,home
s00270,u0068,2026-04-07,270,lesson
s00271,u0068,2026-04-08,344,streak
s00272,u0068,2026-04-09,189,lesson
s00273,u0069,2026-04-06,391,home
s00274,u0069,2026-04-07,175,home
s00275,u0069,2026-04-08,341,streak
s00276,u0069,2026-04-09,141,streak
s00277,u0070,2026-04-06,124,home
s00278,u0070,2026-04-07,344,lesson
s00279,u0070,2026-04-08,331,streak
s00280,u0070,2026-04-09,264,lesson
s00281,u0071,2026-04-06,316,streak
s00282,u0071,2026-04-07,264,lesson
s00283,u0071,2026-04-08,346,home
s00284,u0071,2026-04-09,261,home
s00285,u0072,2026-04-06,384,home
s00286,u0072,2026-04-07,335,lesson
s00287,u0072,2026-04-08,129,home
s00288,u0072,2026-04-09,305,lesson
s00289,u0073,2026-04-06,86,lesson
s00290,u0073,2026-04-07,218,lesson
s00291,u0073,2026-04-08,210,lesson
s00292,u0073,2026-04-09,383,lesson
s00293,u0074,2026-04-06,245,streak
s00294,u0074,2026-04-07,58,streak
s00295,u0074,2026-04-08,85,lesson
s00296,u0074,2026-04-09,169,lesson
s00297,u0075,2026-04-06,276,streak
s00298,u0075,2026-04-07,67,lesson
s00299,u0075,2026-04-08,305,home
s00300,u0075,2026-04-09,358,lesson
s00301,u0076,2026-04-06,187,home
s00302,u0076,2026-04-07,397,lesson
s00303,u0076,2026-04-08,102,lesson
s00304,u0076,2026-04-09,362,home
s00305,u0077,2026-04-06,155,home
s00306,u0077,2026-04-07,276,home
s00307,u0077,2026-04-08,371,home
s00308,u0077,2026-04-09,295,home
s00309,u0078,2026-04-06,273,home
s00310,u0078,2026-04-07,114,streak
s00311,u0078,2026-04-08,137,lesson
s00312,u0078,2026-04-09,300,streak
s00313,u0079,2026-04-06,176,streak
s00314,u0079,2026-04-07,184,home
s00315,u0079,2026-04-08,192,streak
s00316,u0079,2026-04-09,336,streak
s00317,u0080,2026-04-06,322,lesson
s00318,u0080,2026-04-07,233,streak
s00319,u0080,2026-04-08,204,lesson
s00320,u0080,2026-04-09,397,home
s00321,u0081,2026-04-13,282,lesson
s00322,u0081,2026-04-14,235,streak
s00323,u0081,2026-04-15,379,lesson
s00324,u0081,2026-04-16,117,streak
s00325,u0082,2026-04-13,91,lesson
s00326,u0082,2026-04-14,273,streak
s00327,u0082,2026-04-15,409,home
s00328,u0082,2026-04-16,249,home
s00329,u0083,2026-04-13,372,lesson
s00330,u0083,2026-04-14,208,home
s00331,u0083,2026-04-15,313,streak
s00332,u0083,2026-04-16,202,lesson
s00333,u0084,2026-04-13,160,home
s00334,u0084,2026-04-14,390,streak
s00335,u0084,2026-04-15,156,lesson
s00336,u0084,2026-04-16,86,streak
s00337,u0085,2026-04-13,193,streak
s00338,u0085,2026-04-14,63,home
s00339,u0085,2026-04-15,68,lesson
s00340,u0085,2026-04-16,223,lesson
s00341,u0086,2026-04-13,80,home
s00342,u0086,2026-04-14,235,streak
s00343,u0086,2026-04-15,389,streak
s00344,u0086,2026-04-16,294,home
s00345,u0087,2026-04-13,278,home
s00346,u0087,2026-04-14,386,lesson
s00347,u0087,2026-04-15,120,streak
s00348,u0087,2026-04-16,266,home
s00349,u0088,2026-04-13,273,lesson
s00350,u0088,2026-04-14,141,lesson
s00351,u0088,2026-04-15,287,lesson
s00352,u0088,2026-04-16,161,home
s00353,u0089,2026-04-13,242,streak
s00354,u0089,2026-04-14,44,lesson
s00355,u0089,2026-04-15,391,streak
s00356,u0089,2026-04-16,65,streak
s00357,u0090,2026-04-13,220,streak
s00358,u0090,2026-04-14,365,home
s00359,u0090,2026-04-15,357,home
s00360,u0090,2026-04-16,387,lesson
s00361,u0091,2026-04-13,370,streak
s00362,u0091,2026-04-14,198,home
s00363,u0091,2026-04-15,57,lesson
s00364,u0091,2026-04-16,226,streak
s00365,u0092,2026-04-13,316,home
s00366,u0092,2026-04-14,311,lesson
s00367,u0092,2026-04-15,179,streak
s00368,u0092,2026-04-16,171,home
s00369,u0093,2026-04-13,279,home
s00370,u0093,2026-04-14,112,home
s00371,u0093,2026-04-15,386,home
s00372,u0093,2026-04-16,385,streak
s00373,u0094,2026-04-13,175,home
s00374,u0094,2026-04-14,103,streak
s00375,u0094,2026-04-15,228,lesson
s00376,u0094,2026-04-16,384,streak
s00377,u0095,2026-04-13,159,streak
s00378,u0095,2026-04-14,52,lesson
s00379,u0095,2026-04-15,327,streak
s00380,u0095,2026-04-16,352,lesson
s00381,u0096,2026-04-13,99,lesson
s00382,u0096,2026-04-14,63,home
s00383,u0096,2026-04-15,195,home
s00384,u0096,2026-04-16,99,lesson
s00385,u0097,2026-04-13,254,streak
s00386,u0097,2026-04-14,420,streak
s00387,u0097,2026-04-15,119,streak
s00388,u0097,2026-04-16,375,lesson
s00389,u0098,2026-04-13,393,home
s00390,u0098,2026-04-14,151,lesson
s00391,u0098,2026-04-15,267,lesson
s00392,u0098,2026-04-16,225,home
s00393,u0099,2026-04-13,137,lesson
s00394,u0099,2026-04-14,272,home
s00395,u0099,2026-04-15,379,home
s00396,u0099,2026-04-16,368,home
s00397,u0100,2026-04-13,145,streak
s00398,u0100,2026-04-14,323,home
s00399,u0100,2026-04-15,340,home
s00400,u0100,2026-04-16,159,home
s00401,u0101,2026-04-13,106,home
s00402,u0101,2026-04-14,168,streak
s00403,u0101,2026-04-15,96,home
s00404,u0101,2026-04-16,53,streak
s00405,u0102,2026-04-13,66,lesson
s00406,u0102,2026-04-14,419,home
s00407,u0102,2026-04-15,309,lesson
s00408,u0102,2026-04-16,72,home
s00409,u0103,2026-04-13,412,home
s00410,u0103,2026-04-14,306,streak
s00411,u0103,2026-04-15,274,lesson
s00412,u0103,2026-04-16,55,streak
s00413,u0104,2026-04-13,404,lesson
s00414,u0104,2026-04-14,77,lesson
s00415,u0104,2026-04-15,204,home
s00416,u0104,2026-04-16,115,streak
s00417,u0105,2026-04-13,311,streak
s00418,u0105,2026-04-14,272,lesson
s00419,u0105,2026-04-15,349,streak
s00420,u0105,2026-04-16,90,lesson
s00421,u0106,2026-04-13,260,home
s00422,u0106,2026-04-14,156,lesson
s00423,u0106,2026-04-15,213,lesson
s00424,u0106,2026-04-16,244,lesson
s00425,u0107,2026-04-13,391,home
s00426,u0107,2026-04-14,74,lesson
s00427,u0107,2026-04-15,83,home
s00428,u0107,2026-04-16,261,home
s00429,u0108,2026-04-13,208,streak
s00430,u0108,2026-04-14,102,streak
s00431,u0108,2026-04-15,221,lesson
s00432,u0108,2026-04-16,256,streak
s00433,u0109,2026-04-13,335,home
s00434,u0109,2026-04-14,148,streak
s00435,u0109,2026-04-15,376,home
s00436,u0109,2026-04-16,154,lesson
s00437,u0110,2026-04-13,259,home
s00438,u0110,2026-04-14,358,streak
s00439,u0110,2026-04-15,385,streak
s00440,u0110,2026-04-16,325,streak
s00441,u0111,2026-04-13,179,home
s00442,u0111,2026-04-14,198,streak
s00443,u0111,2026-04-15,219,lesson
s00444,u0111,2026-04-16,132,home
s00445,u0112,2026-04-13,311,streak
s00446,u0112,2026-04-14,232,home
s00447,u0112,2026-04-15,272,lesson
s00448,u0112,2026-04-16,120,lesson
s00449,u0113,2026-04-13,119,home
s00450,u0113,2026-04-14,356,home
s00451,u0113,2026-04-15,385,home
s00452,u0113,2026-04-16,179,home
s00453,u0114,2026-04-13,98,streak
s00454,u0114,2026-04-14,260,lesson
s00455,u0114,2026-04-15,185,home
s00456,u0114,2026-04-16,387,streak
s00457,u0115,2026-04-13,43,home
s00458,u0115,2026-04-14,194,home
s00459,u0115,2026-04-15,110,home
s00460,u0115,2026-04-16,188,lesson
s00461,u0116,2026-04-13,312,lesson
s00462,u0116,2026-04-14,157,streak
s00463,u0116,2026-04-15,326,streak
s00464,u0116,2026-04-16,221,streak
s00465,u0117,2026-04-13,333,lesson
s00466,u0117,2026-04-14,403,lesson
s00467,u0117,2026-04-15,253,streak
s00468,u0117,2026-04-16,98,lesson
s00469,u0118,2026-04-13,225,streak
s00470,u0118,2026-04-14,263,home
s00471,u0118,2026-04-15,164,home
s00472,u0118,2026-04-16,341,lesson
s00473,u0119,2026-04-13,79,home
s00474,u0119,2026-04-14,364,streak
s00475,u0119,2026-04-15,311,home
s00476,u0119,2026-04-16,139,streak
s00477,u0120,2026-04-13,114,home
s00478,u0120,2026-04-14,141,lesson
s00479,u0120,2026-04-15,348,home
s00480,u0120,2026-04-16,375,home
s00481,u0121,2026-04-13,336,streak
s00482,u0121,2026-04-14,388,lesson
s00483,u0121,2026-04-15,369,streak
s00484,u0121,2026-04-16,359,streak
s00485,u0122,2026-04-13,342,lesson
s00486,u0122,2026-04-14,220,home
s00487,u0122,2026-04-15,77,streak
s00488,u0122,2026-04-16,276,lesson
s00489,u0123,2026-04-13,299,streak
s00490,u0123,2026-04-14,276,lesson
s00491,u0123,2026-04-15,323,streak
s00492,u0123,2026-04-16,61,streak
s00493,u0124,2026-04-13,117,streak
s00494,u0124,2026-04-14,270,home
s00495,u0124,2026-04-15,215,home
s00496,u0124,2026-04-16,83,streak
s00497,u0125,2026-04-13,352,streak
s00498,u0125,2026-04-14,226,home
s00499,u0125,2026-04-15,184,lesson
s00500,u0125,2026-04-16,249,lesson
s00501,u0126,2026-04-13,208,home
s00502,u0126,2026-04-14,325,home
s00503,u0126,2026-04-15,237,streak
s00504,u0126,2026-04-16,169,lesson
s00505,u0127,2026-04-13,338,home
s00506,u0127,2026-04-14,112,streak
s00507,u0127,2026-04-15,198,lesson
s00508,u0127,2026-04-16,397,streak
s00509,u0128,2026-04-13,208,streak
s00510,u0128,2026-04-14,383,home
s00511,u0128,2026-04-15,418,streak
s00512,u0128,2026-04-16,309,streak
s00513,u0129,2026-04-13,132,lesson
s00514,u0129,2026-04-14,214,home
s00515,u0129,2026-04-15,138,lesson
s00516,u0129,2026-04-16,110,home
s00517,u0130,2026-04-13,309,streak
s00518,u0130,2026-04-14,378,home
s00519,u0130,2026-04-15,356,lesson
s00520,u0130,2026-04-16,345,home
s00521,u0131,2026-04-13,409,home
s00522,u0131,2026-04-14,62,lesson
s00523,u0131,2026-04-15,226,lesson
s00524,u0131,2026-04-16,408,streak
s00525,u0132,2026-04-13,280,lesson
s00526,u0132,2026-04-14,228,home
s00527,u0132,2026-04-15,332,streak
s00528,u0132,2026-04-16,276,lesson
s00529,u0133,2026-04-13,349,home
s00530,u0133,2026-04-14,168,home
s00531,u0133,2026-04-15,368,home
s00532,u0133,2026-04-16,230,lesson
s00533,u0134,2026-04-13,179,home
s00534,u0134,2026-04-14,302,lesson
s00535,u0134,2026-04-15,263,home
s00536,u0134,2026-04-16,153,home
s00537,u0135,2026-04-13,231,streak
s00538,u0135,2026-04-14,237,home
s00539,u0135,2026-04-15,231,home
s00540,u0135,2026-04-16,54,home
s00541,u0136,2026-04-13,110,home
s00542,u0136,2026-04-14,186,home
s00543,u0136,2026-04-15,396,lesson
s00544,u0136,2026-04-16,401,home
s00545,u0137,2026-04-13,412,streak
s00546,u0137,2026-04-14,310,streak
s00547,u0137,2026-04-15,96,lesson
s00548,u0137,2026-04-16,161,lesson
s00549,u0138,2026-04-13,72,lesson
s00550,u0138,2026-04-14,295,home
s00551,u0138,2026-04-15,314,streak
s00552,u0138,2026-04-16,363,home
s00553,u0139,2026-04-13,332,home
s00554,u0139,2026-04-14,135,lesson
s00555,u0139,2026-04-15,382,streak
s00556,u0139,2026-04-16,308,home
s00557,u0140,2026-04-13,50,streak
s00558,u0140,2026-04-14,280,lesson
s00559,u0140,2026-04-15,365,home
s00560,u0140,2026-04-16,231,lesson
s00561,u0141,2026-04-13,93,streak
s00562,u0141,2026-04-14,416,streak
s00563,u0141,2026-04-15,108,lesson
s00564,u0141,2026-04-16,220,home
s00565,u0142,2026-04-13,133,streak
s00566,u0142,2026-04-14,72,home
s00567,u0142,2026-04-15,274,streak
s00568,u0142,2026-04-16,190,home
s00569,u0143,2026-04-13,303,lesson
s00570,u0143,2026-04-14,318,lesson
s00571,u0143,2026-04-15,169,lesson
s00572,u0143,2026-04-16,371,home
s00573,u0144,2026-04-13,228,home
s00574,u0144,2026-04-14,244,lesson
s00575,u0144,2026-04-15,265,streak
s00576,u0144,2026-04-16,213,lesson
s00577,u0145,2026-04-13,257,streak
s00578,u0145,2026-04-14,260,home
s00579,u0145,2026-04-15,132,streak
s00580,u0145,2026-04-16,190,streak
s00581,u0146,2026-04-13,407,streak
s00582,u0146,2026-04-14,125,lesson
s00583,u0146,2026-04-15,267,streak
s00584,u0146,2026-04-16,268,lesson
s00585,u0147,2026-04-13,366,streak
s00586,u0147,2026-04-14,226,lesson
s00587,u0147,2026-04-15,387,streak
s00588,u0147,2026-04-16,55,home
s00589,u0148,2026-04-13,160,home
s00590,u0148,2026-04-14,227,streak
s00591,u0148,2026-04-15,236,lesson
s00592,u0148,2026-04-16,56,streak
s00593,u0149,2026-04-13,311,home
s00594,u0149,2026-04-14,243,lesson
s00595,u0149,2026-04-15,372,lesson
s00596,u0149,2026-04-16,167,lesson
s00597,u0150,2026-04-13,173,lesson
s00598,u0150,2026-04-14,268,streak
s00599,u0150,2026-04-15,353,home
s00600,u0150,2026-04-16,395,lesson
s00601,u0151,2026-04-13,405,home
s00602,u0151,2026-04-14,84,lesson
s00603,u0151,2026-04-15,203,streak
s00604,u0151,2026-04-16,217,streak
s00605,u0152,2026-04-13,403,streak
s00606,u0152,2026-04-14,366,streak
s00607,u0152,2026-04-15,225,home
s00608,u0152,2026-04-16,154,streak
s00609,u0153,2026-04-13,224,home
s00610,u0153,2026-04-14,333,streak
s00611,u0153,2026-04-15,279,lesson
s00612,u0153,2026-04-16,106,streak
s00613,u0154,2026-04-13,250,streak
s00614,u0154,2026-04-14,334,lesson
s00615,u0154,2026-04-15,104,home
s00616,u0154,2026-04-16,368,lesson
s00617,u0155,2026-04-13,340,streak
s00618,u0155,2026-04-14,106,home
s00619,u0155,2026-04-15,297,lesson
s00620,u0155,2026-04-16,103,home
s00621,u0156,2026-04-13,185,streak
s00622,u0156,2026-04-14,168,home
s00623,u0156,2026-04-15,365,home
s00624,u0156,2026-04-16,180,streak
s00625,u0157,2026-04-13,343,home
s00626,u0157,2026-04-14,118,streak
s00627,u0157,2026-04-15,377,home
s00628,u0157,2026-04-16,408,streak
s00629,u0158,2026-04-13,63,home
s00630,u0158,2026-04-14,335,streak
s00631,u0158,2026-04-15,373,lesson
s00632,u0158,2026-04-16,332,home
s00633,u0159,2026-04-13,165,lesson
s00634,u0159,2026-04-14,247,streak
s00635,u0159,2026-04-15,272,lesson
s00636,u0159,2026-04-16,392,home
s00637,u0160,2026-04-13,113,streak
s00638,u0160,2026-04-14,407,lesson
s00639,u0160,2026-04-15,415,lesson
s00640,u0160,2026-04-16,244,lesson
s00641,u0161,2026-04-20,270,lesson
s00642,u0161,2026-04-21,112,home
s00643,u0161,2026-04-22,65,home
s00644,u0161,2026-04-23,236,lesson
s00645,u0162,2026-04-20,200,streak
s00646,u0162,2026-04-21,121,home
s00647,u0162,2026-04-22,303,lesson
s00648,u0162,2026-04-23,295,lesson
s00649,u0163,2026-04-20,150,home
s00650,u0163,2026-04-21,220,streak
s00651,u0163,2026-04-22,65,home
s00652,u0163,2026-04-23,293,lesson
s00653,u0164,2026-04-20,260,home
s00654,u0164,2026-04-21,175,home
s00655,u0164,2026-04-22,227,streak
s00656,u0164,2026-04-23,227,lesson
s00657,u0165,2026-04-20,77,lesson
s00658,u0165,2026-04-21,298,lesson
s00659,u0165,2026-04-22,321,lesson
s00660,u0165,2026-04-23,359,lesson
s00661,u0166,2026-04-20,325,lesson
s00662,u0166,2026-04-21,113,lesson
s00663,u0166,2026-04-22,348,home
s00664,u0166,2026-04-23,245,streak
s00665,u0167,2026-04-20,116,lesson
s00666,u0167,2026-04-21,303,streak
s00667,u0167,2026-04-22,207,home
s00668,u0167,2026-04-23,203,streak
s00669,u0168,2026-04-20,290,streak
s00670,u0168,2026-04-21,328,streak
s00671,u0168,2026-04-22,283,lesson
s00672,u0168,2026-04-23,228,home
s00673,u0169,2026-04-20,392,streak
s00674,u0169,2026-04-21,53,streak
s00675,u0169,2026-04-22,282,streak
s00676,u0169,2026-04-23,375,lesson
s00677,u0170,2026-04-20,362,streak
s00678,u0170,2026-04-21,357,streak
s00679,u0170,2026-04-22,115,lesson
s00680,u0170,2026-04-23,164,streak
s00681,u0171,2026-04-20,254,lesson
s00682,u0171,2026-04-21,251,home
s00683,u0171,2026-04-22,144,streak
s00684,u0171,2026-04-23,296,lesson
s00685,u0172,2026-04-20,146,streak
s00686,u0172,2026-04-21,206,streak
s00687,u0172,2026-04-22,284,streak
s00688,u0172,2026-04-23,232,streak
s00689,u0173,2026-04-20,386,lesson
s00690,u0173,2026-04-21,388,streak
s00691,u0173,2026-04-22,394,streak
s00692,u0173,2026-04-23,352,lesson
s00693,u0174,2026-04-20,400,lesson
s00694,u0174,2026-04-21,393,home
s00695,u0174,2026-04-22,290,streak
s00696,u0174,2026-04-23,285,lesson
s00697,u0175,2026-04-20,333,home
